Temperature,Dew Point,Relative Humidity,Pressure,Wind Speed,Wind Direction,Clearsky GHI,Clearsky DNI,Clearsky DHI,DNI,Hour,Month,GHI
11.141935483870968,6.788440860215054,75.25118279569892,951.510752688172,0.6774193548387096,158.5806451612903,39.053763440860216,295.8682795698925,22.376344086021504,180.13709677419354,0.0,1.0,32.104838709677416
10.087096774193547,6.486290322580645,79.12962365591399,951.9704301075268,0.7032258064516129,158.75806451612902,0.0,0.0,0.0,0.0,1.0,1.0,0.0
9.457795698924732,6.637903225806452,83.31427419354839,952.3817204301076,0.7793010752688173,128.8494623655914,0.0,0.0,0.0,0.0,2.0,1.0,0.0
9.013440860215054,6.691129032258064,86.07940860215054,952.4811827956988,0.8758064516129033,108.1236559139785,0.0,0.0,0.0,0.0,3.0,1.0,0.0
8.74731182795699,6.6698924731182805,87.42284946236559,952.3870967741937,0.9341397849462364,120.45698924731182,0.0,0.0,0.0,0.0,4.0,1.0,0.0
8.427956989247313,6.557795698924731,88.59596774193548,952.3010752688172,0.9545698924731184,105.98387096774194,0.0,0.0,0.0,0.0,5.0,1.0,0.0
8.02768817204301,6.393817204301075,89.95983870967741,952.1129032258063,0.9887096774193548,88.06989247311827,0.0,0.0,0.0,0.0,6.0,1.0,0.0
7.728225806451613,6.255376344086022,90.89317204301076,951.8494623655914,1.056989247311828,111.3494623655914,0.0,0.0,0.0,0.0,7.0,1.0,0.0
7.576612903225806,6.1779569892473125,91.3155376344086,951.6666666666666,1.2131720430107529,134.747311827957,0.0,0.0,0.0,0.0,8.0,1.0,0.0
7.422849462365592,6.130107526881721,91.9493817204301,951.3897849462364,1.4989247311827958,116.04301075268818,0.0,0.0,0.0,0.0,9.0,1.0,0.0
7.237096774193549,6.05752688172043,92.6283870967742,950.997311827957,1.8053763440860215,97.48387096774194,0.0,0.0,0.0,0.0,10.0,1.0,0.0
7.056720430107527,5.973924731182796,93.22233870967742,950.72311827957,2.031720430107527,98.75806451612904,0.0,0.0,0.0,0.0,11.0,1.0,0.0
6.877150537634409,5.873118279569893,93.6881182795699,950.8790322580644,2.124193548387097,99.4462365591398,0.0,0.0,0.0,0.0,12.0,1.0,0.0
6.7680107526881725,5.7827956989247316,93.79680107526885,951.3118279569892,2.196774193548387,98.82795698924733,0.0,0.0,0.0,0.0,13.0,1.0,0.0
7.214516129032258,5.85510752688172,91.53771505376343,951.8333333333334,2.3360215053763445,95.97311827956987,0.0,0.0,0.0,0.0,14.0,1.0,0.0
8.822043010752688,6.213709677419355,84.2906182795699,952.201612903226,2.6750000000000003,92.752688172043,86.51075268817205,453.244623655914,34.72849462365591,185.6532258064516,15.0,1.0,57.93010752688172
11.158333333333331,6.292741935483871,72.4487634408602,952.510752688172,3.029032258064516,97.58064516129032,264.7016129032258,734.9408602150538,56.56182795698925,249.26344086021504,16.0,1.0,190.0967741935484
13.200268817204302,5.185215053763441,58.58701612903226,952.516129032258,3.0513440860215058,105.02150537634408,425.3252688172043,852.0268817204301,67.83602150537635,420.6505376344086,17.0,1.0,347.0241935483871
