datetime_utc,Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm)
2024-01-01 00:00:00+00:00,2024.0,1.0,1.0,0.0,30.0,11.141935483870968,1.2161559139784945,0.03567741935483871,0.6315591397849463,22.376344086021504,295.8682795698925,39.053763440860216,4.938172043010753,4.317204301075269,6.788440860215054,21.844086021505376,180.13709677419354,70.64516129032258,32.104838709677416,0.2978521505376344,75.25118279569892,86.77094086021506,0.9244623655913979,0.14088709677419356,951.510752688172,1.1505376344086022,158.58064516129033,0.6774193548387096,0.0
2024-01-01 01:00:00+00:00,2024.0,1.0,1.0,1.0,30.0,10.087096774193549,1.2217204301075268,0.03941666666666667,0.6315591397849463,0.0,0.0,0.0,0.0,4.306451612903226,6.486290322580645,0.0,0.0,0.0,0.0,0.3010241935483871,79.12962365591399,98.28158602150538,0.9296236559139784,0.14088709677419356,951.9704301075269,1.19247311827957,158.75806451612902,0.7032258064516129,0.0
2024-01-01 02:00:00+00:00,2024.0,1.0,1.0,2.0,30.0,9.457795698924732,1.2173118279569892,0.04377956989247312,0.6315591397849463,0.0,0.0,0.0,0.0,5.82258064516129,6.637903225806452,0.0,0.0,0.0,0.0,0.3046236559139785,83.31427419354839,110.20559139784947,0.9327956989247311,0.14088709677419356,952.3817204301075,1.2309139784946237,128.8494623655914,0.7793010752688173,0.0
2024-01-01 03:00:00+00:00,2024.0,1.0,1.0,3.0,30.0,9.013440860215054,1.200268817204301,0.0487258064516129,0.6315591397849463,0.0,0.0,0.0,0.0,6.325268817204301,6.691129032258064,0.0,0.0,0.0,0.0,0.3096236559139785,86.07940860215054,122.52881720430108,0.933494623655914,0.14088709677419356,952.4811827956989,1.2373655913978494,108.1236559139785,0.8758064516129033,0.0
2024-01-01 04:00:00+00:00,2024.0,1.0,1.0,4.0,30.0,8.74731182795699,1.173709677419355,0.052881720430107526,0.6315591397849463,0.0,0.0,0.0,0.0,4.989247311827957,6.6698924731182805,0.0,0.0,0.0,0.0,0.31615860215053765,87.42284946236559,135.0672311827957,0.933494623655914,0.14088709677419356,952.3870967741935,1.2333333333333334,120.45698924731182,0.9341397849462365,0.0
2024-01-01 05:00:00+00:00,2024.0,1.0,1.0,5.0,30.0,8.427956989247313,1.1575806451612904,0.05345430107526882,0.6315591397849463,0.0,0.0,0.0,0.0,5.60752688172043,6.557795698924731,0.0,0.0,0.0,0.0,0.3228064516129032,88.59596774193548,147.61112903225808,0.933494623655914,0.14088709677419356,952.3010752688172,1.2309139784946237,105.98387096774194,0.9545698924731183,0.0
2024-01-01 06:00:00+00:00,2024.0,1.0,1.0,6.0,30.0,8.02768817204301,1.1469086021505375,0.053373655913978496,0.6315591397849463,0.0,0.0,0.0,0.0,5.228494623655914,6.393817204301075,0.0,0.0,0.0,0.0,0.3282231182795699,89.95983870967741,159.70513440860213,0.933494623655914,0.14088709677419356,952.1129032258065,1.2231182795698925,88.06989247311827,0.9887096774193549,0.0
2024-01-01 07:00:00+00:00,2024.0,1.0,1.0,7.0,30.0,7.728225806451613,1.1336021505376344,0.05354838709677419,0.6315591397849463,0.0,0.0,0.0,0.0,1.4811827956989247,6.255376344086022,0.0,0.0,0.0,0.0,0.3319435483870968,90.89317204301076,169.1191129032258,0.9283870967741936,0.14088709677419356,951.8494623655914,1.2115591397849461,111.34946236559139,1.0569892473118279,0.0
2024-01-01 08:00:00+00:00,2024.0,1.0,1.0,8.0,30.0,7.576612903225806,1.1212096774193547,0.05291397849462366,0.6315591397849463,0.0,0.0,0.0,0.0,0.9489247311827957,6.1779569892473125,0.0,0.0,0.0,0.0,0.3349408602150538,91.3155376344086,166.8387365591398,0.9266666666666667,0.14088709677419356,951.6666666666666,1.1819892473118279,134.747311827957,1.2131720430107527,0.0
2024-01-01 09:00:00+00:00,2024.0,1.0,1.0,9.0,30.0,7.422849462365592,1.1208064516129033,0.05224462365591397,0.6315591397849463,0.0,0.0,0.0,0.0,1.1612903225806452,6.130107526881721,0.0,0.0,0.0,0.0,0.33773655913978495,91.9493817204301,156.00975806451612,0.9266129032258065,0.14088709677419356,951.3897849462365,1.1389784946236559,116.04301075268818,1.4989247311827958,0.0
